Sl. No.,Category,State/UT,Male Involved,Percentage of Males to Total,Female Involved,Percentage of Females to Total,Total
1,State,Andhra Pradesh,4275,59.2,2947,40.8,7222
2,State,Assam,1557,73.8,554,26.2,2111
3,State,Bihar,5422,59.9,3636,40.1,9058
4,State,Gujarat,4276,59.6,2898,40.4,7174
5,State,Haryana,788,60.4,517,39.6,1305
6,State,Jammu and Kashmir,344,71.4,138,28.6,482
7,State,Kerala,2428,68.1,1136,31.9,3564
8,State,Madhya Pradesh,9150,58.8,6399,41.2,15549
9,State,Maharashtra,12687,61.2,8055,38.8,20742
10,State,Mysore,5242,63.7,2992,36.3,8234
11,State,Nagaland,10,83.3,2,16.7,12
12,State,Orissa,3805,61.1,2427,38.9,6232
13,State,Punjab,1160,85.5,197,14.5,1357
14,State,Rajasthan,1556,57.5,1152,42.5,2708
15,State,Tamil Nadu,5609,64,3149,36,8758
16,State,Uttar Pradesh,10463,66.7,5235,33.3,15698
17,State,West Bengal,8043,62.2,4879,37.8,12922
18,UT,Andaman & Nicobar Islands,35,83.3,7,16.7,42
19,UT,Chandigarh,27,81.8,6,18.2,33
20,UT,Dadra & Nagar Haveli,46,71.9,18,28.1,64
21,UT,Delhi,1001,75.8,320,24.2,1321
22,UT,"Goa, Daman & Diu",177,80.5,43,19.5,220
23,UT,Himachal Pradesh,524,78.4,144,21.6,668
24,UT,Lakshadweep,2,100,NA,NA,2
25,UT,Manipur,41,91.1,4,8.9,45
26,UT,Pondicherry,315,71.6,125,28.4,440
27,UT,Tripura,176,65.4,93,34.6,269
